protocol,model,task,accuracy,precision,recall,f1,roc_auc,train_time_s,inference_ms
subject_dependent,SVM,valence,56.25,58.13,81.38,67.82,0.5727,0.07,48.4
subject_dependent,SVM,arousal,62.89,65.1,81.7,72.46,0.6448,0.03,25.6
subject_dependent,RandomForest,valence,61.72,63.74,75.17,68.99,0.6318,1.03,128.7
subject_dependent,RandomForest,arousal,61.33,65.7,73.86,69.54,0.6342,0.28,70.9
subject_dependent,EEGNet,valence,54.69,59.6,62.07,60.81,0.5555,3073.99,4694.7
subject_dependent,EEGNet,arousal,60.16,64.41,74.51,69.09,0.599,3117.93,5546.2
subject_dependent,HybridQNN,valence,55.86,58.08,79.31,67.06,0.5358,52.4,111.2
subject_dependent,HybridQNN,arousal,61.33,62.98,85.62,72.58,0.599,53.12,110.6
subject_independent,SVM,valence,50.42,60.17,49.65,54.41,0.5217,0.06,32.8
subject_independent,SVM,arousal,59.58,66.48,77.07,71.39,0.5168,0.02,23.8
subject_independent,RandomForest,valence,45.83,57.47,34.97,43.48,0.493,0.5,65.9
subject_independent,RandomForest,arousal,57.5,64.86,76.43,70.18,0.5071,0.29,91.8
subject_independent,EEGNet,valence,49.17,59.63,45.45,51.59,0.512,3469.57,8645.6
subject_independent,EEGNet,arousal,57.08,68.0,64.97,66.45,0.522,3352.43,6490.3
subject_independent,HybridQNN,valence,59.58,59.58,100.0,74.67,0.5727,52.99,112.2
subject_independent,HybridQNN,arousal,52.08,64.79,58.6,61.54,0.4558,48.66,107.2
